Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,4,[...띵동!],,,,,,,,,,,,,
,0,,[4층입니다.],,,,,,,,,,,,,
,0,,당신이 카페 층에 들어서자 저 멀리 낮익은 형체가 서 있음을 인지한다. ,,,,6,,,,,,,,,
,0,,당신이 그를 인지한 순간@ 그역시도 당신을 인지 한 듯 상상도 못할 속도로 당신의 앞에 당도한다.,,,,,,,,,,,,,
,2,,“또 만났네?”,,,,,,,,,,,,,
,0,,카페에서 보았던 손님이다. 그는 정말이지 너무나도 반가워하는 미소와 동시에 당신의 두 손을 강하게 부여잡고 악수한다.,,,,,,,,,,,,,
,2,,“자@ 가자! 복도에 가고 싶다고 했지?“,,,,,,,,,,,,,
,0,,악수를 한 손을 그대로 쥐어짜듯이 잡은 채 손님은 엘레베이터 홀 바깥으로 당신을 끌고 나가려한다. ,,,,,,,,,,,,,
,0,,당신은 본능적으로 그의 손을 뿌리쳐야 함을 느끼고 저항한다.,,,,,,,,,,,,,
,0,,당신은 그의 손에서 벗어나기에 충분한 힘을 가지지 못한 모양이다.,,,,,,,,,,,,,
,2,-4,“가자!”,,,,,,,,,,,,,
,2,0,“킥킥킥킥킥킥킥”,,,,,,,,,,,,,
,0,,손님은 황홀함을 느끼는 듯한 광소를 터트리며 복도를 가로지른다. ,,,,,,,,,,,,,
,0,,분명 카페의 출입문이 있어야 할 자리에는 기다란 복도가 자리하고 있다.,,,,19,,,,,,,,,
,0,,당신은 손님에 의해 거의 끌려가듯이 복도를 가로지른다.,,,,,,,,,,,,,
,0,,여기저기 쓸리고@ 끌리고@ 뒹군 끝에 복도 끝에 존재하는 한 문에 맞닥뜨린다.,,,,,,,,,,,,,
,2,,“자. 네가 원하던 곳이야 그렇지? 그렇지 않니? 응?”,,,,,,,,,,,,,
,-1,,손님이 문을 연다.,,,,,,,,,,,,,
,0,,문 안에는 육벽으로 되어있고 온 사방에 검은 동공이 당신을 바라본다.,,,,20,,,,,,,,,
,0,,그것이 침을 흘린다.,,,,,,,,,,,,,
,0,,그것이 당신을 원한다.,,,,,,,,,,,,,
,0,,그것이 당신을 먹다.,,,,,,,,,,,,,
,0,,“킥킥킥킥킥킥…”,,,,,,,,,,1,,,
end,,,,,,,,,,,,,,,,
